date, total, active 
2022-09-29, 120, 43
2022-09-30, 120, 43
2022-10-01, 121, 43
2022-10-02, 121, 43
2022-10-03, 121, 42
2022-10-04, 121, 42
2022-10-05, 121, 42
2022-10-06, 122, 42
2022-10-07, 122, 40
2022-10-08, 122, 33
2022-10-09, 122, 22
2022-10-10, 122, 15
2022-10-11, 122, 13
2022-10-12, 122, 12
2022-10-13, 122, 11
2022-10-14, 122, 11
2022-10-15, 122, 9
2022-10-16, 123, 10
2022-10-17, 124, 9
2022-10-18, 124, 9
2022-10-19, 124, 7
2022-10-20, 124, 7
2022-10-21, 125, 8
2022-10-22, 125, 8
2022-10-23, 126, 9
2022-10-24, 126, 9
2022-10-25, 126, 11
2022-10-26, 126, 11
2022-10-27, 126, 13
2022-10-28, 128, 15
2022-10-29, 128, 15
2022-10-30, 128, 15
2022-10-31, 128, 14
2022-11-01, 128, 14
2022-11-02, 129, 15
2022-11-03, 129, 14
2022-11-04, 129, 14
2022-11-05, 129, 13
2022-11-06, 129, 13
2022-11-07, 129, 14
2022-11-08, 129, 14
2022-11-09, 130, 15
2022-11-10, 131, 16
2022-11-11, 131, 16
2022-11-12, 131, 16
2022-11-13, 131, 16
2022-11-14, 131, 16
2022-11-15, 131, 15
2022-11-16, 131, 14
2022-11-17, 131, 14
2022-11-18, 131, 14
2022-11-19, 131, 15
2022-11-20, 132, 15
2022-11-21, 132, 15
2022-11-22, 132, 15
2022-11-23, 132, 14
2022-11-24, 132, 13
2022-11-25, 132, 15
2022-11-26, 132, 13
2022-11-27, 132, 11
2022-11-28, 133, 12
2022-11-29, 133, 12
2022-11-30, 134, 15
2022-12-01, 134, 15
2022-12-02, 134, 14
2022-12-03, 136, 17
2022-12-04, 136, 17
2022-12-05, 137, 18
2022-12-06, 137, 20
2022-12-07, 137, 19
2022-12-08, 137, 19
2022-12-09, 137, 19
2022-12-10, 137, 19
2022-12-11, 137, 19
2022-12-12, 137, 19
2022-12-13, 137, 19
2022-12-14, 137, 19
2022-12-15, 137, 19
2022-12-16, 137, 19
2022-12-17, 137, 19
2022-12-18, 137, 18
2022-12-19, 137, 18
2022-12-20, 137, 17
2022-12-21, 138, 20
2022-12-22, 138, 18
2022-12-23, 139, 19
2022-12-24, 139, 19
2022-12-25, 139, 17
2022-12-26, 139, 17
2022-12-27, 139, 17
2022-12-28, 139, 16
2022-12-29, 139, 16
2022-12-30, 139, 12
2022-12-31, 139, 12
2023-01-01, 139, 12
2023-01-02, 139, 9
2023-01-03, 139, 9
2023-01-04, 139, 8
2023-01-05, 139, 8
2023-01-06, 140, 9
2023-01-07, 140, 9
2023-01-08, 140, 9
2023-01-09, 140, 9
2023-01-10, 140, 9
2023-01-11, 142, 11
2023-01-12, 143, 12
2023-01-13, 144, 13
2023-01-14, 144, 13
2023-01-15, 146, 16
2023-01-16, 146, 16
2023-01-17, 146, 16
2023-01-18, 147, 17
2023-01-19, 147, 18
2023-01-20, 148, 17
2023-01-21, 148, 17
2023-01-22, 148, 17
2023-01-23, 149, 17
2023-01-24, 149, 17
2023-01-25, 150, 23
2023-01-26, 153, 29
2023-01-27, 156, 35
2023-01-28, 158, 38
2023-01-29, 159, 39
2023-01-30, 159, 40
2023-01-31, 159, 40
2023-02-01, 159, 40
2023-02-02, 159, 42
2023-02-03, 159, 42
2023-02-04, 161, 44
2023-02-05, 161, 44
2023-02-06, 161, 44
2023-02-07, 161, 44
2023-02-08, 161, 44
2023-02-09, 162, 45
2023-02-10, 162, 44
2023-02-11, 162, 43
2023-02-12, 162, 42
2023-02-13, 162, 42
2023-02-14, 162, 39
2023-02-15, 162, 39
2023-02-16, 163, 40
2023-02-17, 163, 40
2023-02-18, 163, 40
2023-02-19, 163, 40
2023-02-20, 163, 40
2023-02-21, 163, 38
2023-02-22, 163, 38
2023-02-23, 163, 37
2023-02-24, 163, 31
2023-02-25, 163, 26
2023-02-26, 163, 21
2023-02-27, 163, 16
2023-02-28, 163, 14
2023-03-01, 163, 13
2023-03-02, 163, 12
2023-03-03, 163, 11
2023-03-04, 164, 10
2023-03-05, 164, 8
2023-03-06, 164, 6
2023-03-07, 164, 6
2023-03-08, 164, 5
2023-03-09, 164, 8
2023-03-10, 165, 12
2023-03-11, 166, 12
2023-03-12, 166, 13
2023-03-13, 166, 13
2023-03-14, 167, 14
2023-03-15, 168, 16
2023-03-16, 168, 16
2023-03-17, 168, 16
2023-03-18, 168, 16
2023-03-19, 168, 16
2023-03-20, 168, 17
2023-03-21, 171, 20
2023-03-22, 171, 21
2023-03-23, 171, 21
2023-03-24, 172, 22
2023-03-25, 172, 22
2023-03-26, 172, 22
2023-03-27, 172, 22
2023-03-28, 172, 22
2023-03-29, 172, 22
2023-03-30, 172, 22
2023-03-31, 173, 23
2023-04-01, 176, 27
2023-04-02, 176, 27
2023-04-03, 176, 26
2023-04-04, 177, 27
2023-04-05, 180, 30
2023-04-06, 181, 31
2023-04-07, 181, 31
2023-04-08, 181, 28
2023-04-09, 181, 24
2023-04-10, 181, 24
2023-04-11, 181, 23
2023-04-12, 181, 23
2023-04-13, 182, 23
2023-04-14, 184, 23
2023-04-15, 184, 23
2023-04-16, 184, 22
2023-04-17, 184, 23
2023-04-18, 184, 23
2023-04-19, 184, 22
2023-04-20, 184, 19
2023-04-21, 185, 19
2023-04-22, 186, 20
2023-04-23, 186, 19
2023-04-24, 187, 20
2023-04-25, 187, 20
2023-04-26, 187, 20
2023-04-27, 187, 20
2023-04-28, 187, 20
2023-04-29, 187, 22
2023-04-30, 187, 20
2023-05-01, 187, 16
2023-05-02, 187, 19
2023-05-03, 187, 19
2023-05-04, 188, 19
2023-05-05, 190, 18
2023-05-06, 190, 18
2023-05-07, 190, 17
2023-05-08, 190, 17
